lambda,series,idle_pct
0.1,Theoretical IPOF*,9.46768185881218
0.2,Theoretical IPOF*,9.46768185881218
0.3,Theoretical IPOF*,9.46768185881218
0.4,Theoretical IPOF*,9.46768185881218
0.5,Theoretical IPOF*,9.46768185881218
0.6,Theoretical IPOF*,9.46768185881218
0.7,Theoretical IPOF*,9.46768185881218
0.8,Theoretical IPOF*,9.46768185881218
0.9,Theoretical IPOF*,9.46768185881218
1.0,Theoretical IPOF*,9.46768185881218
0.1,ONLINE MO**,12.484681054847693
0.2,ONLINE MO**,9.718711468451641
0.3,ONLINE MO**,8.007678473964472
0.4,ONLINE MO**,6.7678065000721235
0.5,ONLINE MO**,5.8646145593279355
0.6,ONLINE MO**,5.173161173316812
0.7,ONLINE MO**,4.623393831584542
0.8,ONLINE MO**,4.187378932916802
0.9,ONLINE MO**,3.793573924996305
1.0,ONLINE MO**,3.472838626093363
0.1,IPOF1,89.12987587021951
0.2,IPOF1,81.52808047599908
0.3,IPOF1,75.24861130377937
0.4,IPOF1,69.75077708978657
0.5,IPOF1,65.0099474037956
0.6,IPOF1,60.872845060759005
0.7,IPOF1,57.21704875788575
0.8,IPOF1,54.01674260091072
0.9,IPOF1,50.93140274073028
1.0,IPOF1,48.22026807267993
0.1,IPOF2,87.76741706742526
0.2,IPOF2,79.43304603072124
0.3,IPOF2,72.680452395593
0.4,IPOF2,66.86384880308852
0.5,IPOF2,61.91825695411267
0.6,IPOF2,57.65391722170343
0.7,IPOF2,53.92454818504984
0.8,IPOF2,50.69031524875102
0.9,IPOF2,47.59840690611002
1.0,IPOF2,44.901926253092554
0.1,IPOF3,86.01445081867956
0.2,IPOF3,76.80190213361428
0.3,IPOF3,69.51747598042769
0.4,IPOF3,63.36743033481249
0.5,IPOF3,58.22679291474581
0.6,IPOF3,53.857332180155595
0.7,IPOF3,50.082508690430785
0.8,IPOF3,46.84452103589828
0.9,IPOF3,43.77901286924974
1.0,IPOF3,41.12859049854977
0.1,IPOF4,84.53718446023383
0.2,IPOF4,74.63884848452503
0.3,IPOF4,66.96774314674671
0.4,IPOF4,60.59528903490962
0.5,IPOF4,55.34038289652169
0.6,IPOF4,50.923593603862436
0.7,IPOF4,47.14382921494133
0.8,IPOF4,43.9286791562959
0.9,IPOF4,40.907184079774396
1.0,IPOF4,38.311768853838366
0.1,IPOF5,82.71094633173983
0.2,IPOF5,72.0308294249802
0.3,IPOF5,63.95232428750407
0.4,IPOF5,57.368932476353976
0.5,IPOF5,52.025046919470384
0.6,IPOF5,47.59098660022853
0.7,IPOF5,43.83706314014548
0.8,IPOF5,40.673911624875814
0.9,IPOF5,37.72569108481878
1.0,IPOF5,35.21143086061404
0.1,IPOL1,74.68193424188895
0.2,IPOL1,61.286297247197474
0.3,IPOL1,52.1379805525218
0.4,IPOL1,45.23075493941987
0.5,IPOL1,39.95076704265311
0.6,IPOL1,35.77262819243121
0.7,IPOL1,32.369137992127214
0.8,IPOL1,29.59445867902678
0.9,IPOL1,27.08056533982024
1.0,IPOL1,24.988192529084465
0.1,IPOL2,71.58056087461726
0.2,IPOL2,57.40810358119276
0.3,IPOL2,48.093081701297855
0.4,IPOL2,41.24675463618186
0.5,IPOL2,36.117771516157376
0.6,IPOL2,32.12100247486641
0.7,IPOL2,28.904563272751172
0.8,IPOL2,26.30885304608266
0.9,IPOL2,23.977190106914758
1.0,IPOL2,22.050386779497362
0.1,IPOL3,66.33904921923487
0.2,IPOL3,51.145365682466995
0.3,IPOL3,41.782914148599176
0.4,IPOL3,35.19375583187282
0.5,IPOL3,30.41012966126157
0.6,IPOL3,26.768740758311317
0.7,IPOL3,23.891152761905687
0.8,IPOL3,21.603397085257537
0.9,IPOL3,19.574042335718207
1.0,IPOL3,17.914338110829302
0.1,IPOL4,65.39073246192214
0.2,IPOL4,50.276447909080304
0.3,IPOL4,41.004970825122896
0.4,IPOL4,34.497366942034795
0.5,IPOL4,29.782773482642856
0.6,IPOL4,26.199311944028995
0.7,IPOL4,23.37071729723339
0.8,IPOL4,21.124149188097856
0.9,IPOL4,19.132588735959246
1.0,IPOL4,17.504948671900365
0.1,IPOL5,62.11238544784431
0.2,IPOL5,46.80485961865288
0.3,IPOL5,37.713299314881596
0.4,IPOL5,31.461505010592965
0.5,IPOL5,26.99765085449364
0.6,IPOL5,23.640469614778347
0.7,IPOL5,21.0118036647235
0.8,IPOL5,18.93777754140479
0.9,IPOL5,17.10895811030045
1.0,IPOL5,15.621040560789837
